jis_prefecture_code,jis_prefecture_code_no_cd,prifecture_kanji,city_kanji,prifecture_kana_hankaku,city_kana_hankaku,prefecture_kana_zenkaku,city_kana_zenkaku,is_designated,is_designated_figure
010006,01000,北海道,,ﾎｯｶｲﾄﾞｳ,,ホッカイドウ,,false,0
011002,01100,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,ホッカイドウ,サッポロシ,true,1
012025,01202,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,ホッカイドウ,ハコダテシ,false,0
012033,01203,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,ホッカイドウ,オタルシ,false,0
012041,01204,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,ホッカイドウ,アサヒカワシ,false,0
012050,01205,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,ホッカイドウ,ムロランシ,false,0
012068,01206,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,ホッカイドウ,クシロシ,false,0
012076,01207,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,ホッカイドウ,オビヒロシ,false,0
012084,01208,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,ホッカイドウ,キタミシ,false,0
012092,01209,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,ホッカイドウ,ユウバリシ,false,0
012106,01210,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,ホッカイドウ,イワミザワシ,false,0
012114,01211,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,ホッカイドウ,アバシリシ,false,0
012122,01212,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,ホッカイドウ,ルモイシ,false,0
012131,01213,北海道,苫小牧市,ﾎｯｶｲﾄﾞｳ,ﾄﾏｺﾏｲｼ,ホッカイドウ,トマコマイシ,false,0
012149,01214,北海道,稚内市,ﾎｯｶｲﾄﾞｳ,ﾜｯｶﾅｲｼ,ホッカイドウ,ワッカナイシ,false,0
012157,01215,北海道,美唄市,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾊﾞｲｼ,ホッカイドウ,ビバイシ,false,0
012165,01216,北海道,芦別市,ﾎｯｶｲﾄﾞｳ,ｱｼﾍﾞﾂｼ,ホッカイドウ,アシベツシ,false,0
012173,01217,北海道,江別市,ﾎｯｶｲﾄﾞｳ,ｴﾍﾞﾂｼ,ホッカイドウ,エベツシ,false,0
012181,01218,北海道,赤平市,ﾎｯｶｲﾄﾞｳ,ｱｶﾋﾞﾗｼ,ホッカイドウ,アカビラシ,false,0
012190,01219,北海道,紋別市,ﾎｯｶｲﾄﾞｳ,ﾓﾝﾍﾞﾂｼ,ホッカイドウ,モンベツシ,false,0
012203,01220,北海道,士別市,ﾎｯｶｲﾄﾞｳ,ｼﾍﾞﾂｼ,ホッカイドウ,シベツシ,false,0
012211,01221,北海道,名寄市,ﾎｯｶｲﾄﾞｳ,ﾅﾖﾛｼ,ホッカイドウ,ナヨロシ,false,0
012220,01222,北海道,三笠市,ﾎｯｶｲﾄﾞｳ,ﾐｶｻｼ,ホッカイドウ,ミカサシ,false,0
012238,01223,北海道,根室市,ﾎｯｶｲﾄﾞｳ,ﾈﾑﾛｼ,ホッカイドウ,ネムロシ,false,0
012246,01224,北海道,千歳市,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,ホッカイドウ,チトセシ,false,0
012254,01225,北海道,滝川市,ﾎｯｶｲﾄﾞｳ,ﾀｷｶﾜｼ,ホッカイドウ,タキカワシ,false,0
012262,01226,北海道,砂川市,ﾎｯｶｲﾄﾞｳ,ｽﾅｶﾞﾜｼ,ホッカイドウ,スナガワシ,false,0
012271,01227,北海道,歌志内市,ﾎｯｶｲﾄﾞｳ,ｳﾀｼﾅｲｼ,ホッカイドウ,ウタシナイシ,false,0
012289,01228,北海道,深川市,ﾎｯｶｲﾄﾞｳ,ﾌｶｶﾞﾜｼ,ホッカイドウ,フカガワシ,false,0
012297,01229,北海道,富良野市,ﾎｯｶｲﾄﾞｳ,ﾌﾗﾉｼ,ホッカイドウ,フラノシ,false,0
012301,01230,北海道,登別市,ﾎｯｶｲﾄﾞｳ,ﾉﾎﾞﾘﾍﾞﾂｼ,ホッカイドウ,ノボリベツシ,false,0
012319,01231,北海道,恵庭市,ﾎｯｶｲﾄﾞｳ,ｴﾆﾜｼ,ホッカイドウ,エニワシ,false,0
012335,01233,北海道,伊達市,ﾎｯｶｲﾄﾞｳ,ﾀﾞﾃｼ,ホッカイドウ,ダテシ,false,0
012343,01234,北海道,北広島市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾋﾛｼﾏｼ,ホッカイドウ,キタヒロシマシ,false,0
012351,01235,北海道,石狩市,ﾎｯｶｲﾄﾞｳ,ｲｼｶﾘｼ,ホッカイドウ,イシカリシ,false,0
012360,01236,北海道,北斗市,ﾎｯｶｲﾄﾞｳ,ﾎｸﾄｼ,ホッカイドウ,ホクトシ,false,0
013030,01303,北海道,当別町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾍﾞﾂﾁｮｳ,ホッカイドウ,トウベツチョウ,false,0
013048,01304,北海道,新篠津村,ﾎｯｶｲﾄﾞｳ,ｼﾝｼﾉﾂﾑﾗ,ホッカイドウ,シンシノツムラ,false,0
013315,01331,北海道,松前町,ﾎｯｶｲﾄﾞｳ,ﾏﾂﾏｴﾁｮｳ,ホッカイドウ,マツマエチョウ,false,0
013323,01332,北海道,福島町,ﾎｯｶｲﾄﾞｳ,ﾌｸｼﾏﾁｮｳ,ホッカイドウ,フクシマチョウ,false,0
013331,01333,北海道,知内町,ﾎｯｶｲﾄﾞｳ,ｼﾘｳﾁﾁｮｳ,ホッカイドウ,シリウチチョウ,false,0
013340,01334,北海道,木古内町,ﾎｯｶｲﾄﾞｳ,ｷｺﾅｲﾁｮｳ,ホッカイドウ,キコナイチョウ,false,0
013374,01337,北海道,七飯町,ﾎｯｶｲﾄﾞｳ,ﾅﾅｴﾁｮｳ,ホッカイドウ,ナナエチョウ,false,0
013439,01343,北海道,鹿部町,ﾎｯｶｲﾄﾞｳ,ｼｶﾍﾞﾁｮｳ,ホッカイドウ,シカベチョウ,false,0
013455,01345,北海道,森町,ﾎｯｶｲﾄﾞｳ,ﾓﾘﾏﾁ,ホッカイドウ,モリマチ,false,0
013463,01346,北海道,八雲町,ﾎｯｶｲﾄﾞｳ,ﾔｸﾓﾁｮｳ,ホッカイドウ,ヤクモチョウ,false,0
013471,01347,北海道,長万部町,ﾎｯｶｲﾄﾞｳ,ｵｼｬﾏﾝﾍﾞﾁｮｳ,ホッカイドウ,オシャマンベチョウ,false,0
013617,01361,北海道,江差町,ﾎｯｶｲﾄﾞｳ,ｴｻｼﾁｮｳ,ホッカイドウ,エサシチョウ,false,0
013625,01362,北海道,上ノ国町,ﾎｯｶｲﾄﾞｳ,ｶﾐﾉｸﾆﾁｮｳ,ホッカイドウ,カミノクニチョウ,false,0
013633,01363,北海道,厚沢部町,ﾎｯｶｲﾄﾞｳ,ｱｯｻﾌﾞﾁｮｳ,ホッカイドウ,アッサブチョウ,false,0
013641,01364,北海道,乙部町,ﾎｯｶｲﾄﾞｳ,ｵﾄﾍﾞﾁｮｳ,ホッカイドウ,オトベチョウ,false,0
013676,01367,北海道,奥尻町,ﾎｯｶｲﾄﾞｳ,ｵｸｼﾘﾁｮｳ,ホッカイドウ,オクシリチョウ,false,0
013706,01370,北海道,今金町,ﾎｯｶｲﾄﾞｳ,ｲﾏｶﾈﾁｮｳ,ホッカイドウ,イマカネチョウ,false,0
013714,01371,北海道,せたな町,ﾎｯｶｲﾄﾞｳ,ｾﾀﾅﾁｮｳ,ホッカイドウ,セタナチョウ,false,0
013919,01391,北海道,島牧村,ﾎｯｶｲﾄﾞｳ,ｼﾏﾏｷﾑﾗ,ホッカイドウ,シママキムラ,false,0
013927,01392,北海道,寿都町,ﾎｯｶｲﾄﾞｳ,ｽｯﾂﾁｮｳ,ホッカイドウ,スッツチョウ,false,0
013935,01393,北海道,黒松内町,ﾎｯｶｲﾄﾞｳ,ｸﾛﾏﾂﾅｲﾁｮｳ,ホッカイドウ,クロマツナイチョウ,false,0
013943,01394,北海道,蘭越町,ﾎｯｶｲﾄﾞｳ,ﾗﾝｺｼﾁｮｳ,ホッカイドウ,ランコシチョウ,false,0
013951,01395,北海道,ニセコ町,ﾎｯｶｲﾄﾞｳ,ﾆｾｺﾁｮｳ,ホッカイドウ,ニセコチョウ,false,0
013960,01396,北海道,真狩村,ﾎｯｶｲﾄﾞｳ,ﾏｯｶﾘﾑﾗ,ホッカイドウ,マッカリムラ,false,0
013978,01397,北海道,留寿都村,ﾎｯｶｲﾄﾞｳ,ﾙｽﾂﾑﾗ,ホッカイドウ,ルスツムラ,false,0
013986,01398,北海道,喜茂別町,ﾎｯｶｲﾄﾞｳ,ｷﾓﾍﾞﾂﾁｮｳ,ホッカイドウ,キモベツチョウ,false,0
013994,01399,北海道,京極町,ﾎｯｶｲﾄﾞｳ,ｷｮｳｺﾞｸﾁｮｳ,ホッカイドウ,キョウゴクチョウ,false,0
014001,01400,北海道,倶知安町,ﾎｯｶｲﾄﾞｳ,ｸｯﾁｬﾝﾁｮｳ,ホッカイドウ,クッチャンチョウ,false,0
014010,01401,北海道,共和町,ﾎｯｶｲﾄﾞｳ,ｷｮｳﾜﾁｮｳ,ホッカイドウ,キョウワチョウ,false,0
014028,01402,北海道,岩内町,ﾎｯｶｲﾄﾞｳ,ｲﾜﾅｲﾁｮｳ,ホッカイドウ,イワナイチョウ,false,0
014036,01403,北海道,泊村,ﾎｯｶｲﾄﾞｳ,ﾄﾏﾘﾑﾗ,ホッカイドウ,トマリムラ,false,0
014044,01404,北海道,神恵内村,ﾎｯｶｲﾄﾞｳ,ｶﾓｴﾅｲﾑﾗ,ホッカイドウ,カモエナイムラ,false,0
014052,01405,北海道,積丹町,ﾎｯｶｲﾄﾞｳ,ｼｬｺﾀﾝﾁｮｳ,ホッカイドウ,シャコタンチョウ,false,0
014061,01406,北海道,古平町,ﾎｯｶｲﾄﾞｳ,ﾌﾙﾋﾞﾗﾁｮｳ,ホッカイドウ,フルビラチョウ,false,0
014079,01407,北海道,仁木町,ﾎｯｶｲﾄﾞｳ,ﾆｷﾁｮｳ,ホッカイドウ,ニキチョウ,false,0
